sigla,nome,cor,cor2
SMGOV,Coral,#FF7F50,
SMCP,Verde,#2E9E4F,
SMPOFTI,Magenta,#D6409F,
SMSOP,Roxo vibrante,#8E4EC6,
SEMOB,Champanhe,#E8D5A3,
SEDC,Azul claro,#4FB3F0,
AME,Verde neon,#4DE87A,
SMEC,Turquesa,#1FBFB8,
PRESSEM,Rosa claro,#F7A8C4,
SEMMA,Amarelo,#FFC53D,
SMAG,Laranja,#F76B15,
EMHUR,Verde escuro,#1F6B3B,
ARM,Azul,#2563EB,
CASA CIVIL,Cinza,#9AA4B2,
SEMCONV,Caqui,#C3B183,
SMO,Verde oliva,#6B8E23,
PGM,Marrom,#8B5A2B,
SMLIC,Pink,#FF4FA3,
SEMADS,Lilás,#B39DDB,
SMAAI,Vermelho com rosa,#E5396B,#F7A8C4
SMCT,Azul acinzentado,#6E8FAF,
SMSA,Roxo,#6D28D9,
SEMUC,Rosa,#EC5C9D,
FETEC,Laranja com azul,#F97316,#2563EB
